"Previsioni probabilistiche della popolazione residente per sesso, età e regione - base 1.1.2017 - Anni 2017/2065"
"Anno: 2017 - Ripartizione: Italia"
"Maschi"
"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
56;433081;433105;433142;433183;433225;433262;433285;
57;418586;418608;418645;418685;418726;418762;418783;
58;407535;407558;407594;407633;407673;407709;407731;
59;386806;386828;386864;386902;386941;386976;386998;
60;382436;382458;382495;382534;382573;382609;382630;
61;373405;373426;373465;373504;373545;373580;373602;
62;364709;364731;364772;364811;364854;364889;364913;
63;357059;357083;357125;357166;357210;357247;357272;
64;340562;340588;340630;340673;340718;340757;340782;
65;332637;332663;332708;332753;332800;332840;332867;
66;329787;329816;329862;329910;329960;330002;330032;
67;340308;340338;340388;340442;340495;340542;340573;
68;339934;339966;340019;340077;340135;340187;340219;
69;351129;351165;351225;351290;351355;351414;351449;
70;340602;340640;340705;340774;340843;340907;340943;
71;335732;335770;335842;335917;335993;336061;336103;
72;255410;255445;255506;255569;255633;255692;255727;
73;258499;258537;258604;258675;258746;258813;258851;
74;254765;254806;254878;254957;255035;255108;255149;
75;248207;248252;248330;248416;248499;248579;248624;
76;243473;243523;243609;243703;243795;243882;243930;
77;260601;260662;260766;260879;260990;261094;261152;
78;249217;249284;249396;249518;249638;249750;249814;
79;232135;232202;232322;232450;232578;232695;232763;
80;205501;205569;205689;205818;205947;206065;206132;
81;181942;182011;182131;182262;182392;182510;182578;
82;175360;175434;175566;175711;175853;175984;176060;
83;157740;157816;157952;158100;158246;158380;158458;
84;141113;141192;141330;141481;141630;141767;141846;
85;123106;123184;123320;123471;123619;123754;123833;
86;110536;110616;110755;110909;111060;111198;111279;
87;99782;99863;100006;100164;100319;100460;100543;
88;79122;79195;79324;79465;79604;79731;79806;
89;64969;65037;65157;65288;65417;65534;65604;
90;52917;52979;53089;53209;53327;53435;53499;
91;41106;41160;41256;41361;41464;41558;41614;
92;31571;31618;31700;31790;31879;31959;32008;
93;24043;24083;24153;24229;24304;24373;24414;
94;18156;18191;18248;18313;18376;18434;18469;
95;12640;12666;12711;12762;12811;12856;12883;
96;8816;8837;8872;8911;8949;8985;9005;
97;5905;5921;5947;5976;6005;6031;6046;
98;2613;2620;2633;2647;2661;2673;2681;
99;1300;1304;1311;1319;1326;1333;1337;
100;886;889;893;899;904;909;912;
101;629;631;635;639;643;647;649;
102;477;479;482;485;489;492;494;
103;256;257;259;261;263;265;266;
104;155;156;157;158;160;161;162;
105;59;60;60;61;61;62;62;
106;27;27;28;28;28;29;29;
107;10;10;10;10;11;11;11;
108;5;6;6;6;6;6;6;
109;4;4;4;4;4;4;4;
110 e oltre;2;2;2;2;2;2;2;
Totale;29469097;29474135;29481332;29489865;29497957;29505823;29510447;
"Femmine"
"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
0;217845;219112;221589;224264;226853;229297;230655;
1;227594;227624;227678;227737;227796;227852;227881;
2;235850;235880;235932;235989;236046;236100;236128;
3;243956;243985;244036;244091;244146;244198;244226;
4;248942;248970;249019;249072;249126;249177;249203;
5;260035;260063;260111;260162;260214;260263;260290;
6;265008;265034;265081;265131;265182;265230;265255;
7;272065;272090;272136;272186;272235;272281;272307;
8;276593;276619;276664;276712;276761;276805;276830;
9;280259;280283;280327;280374;280422;280465;280489;
10;278549;278573;278616;278662;278709;278752;278774;
11;278371;278394;278437;278482;278527;278570;278592;
12;276211;276232;276274;276318;276362;276404;276426;
13;279923;279944;279985;280028;280071;280112;280134;
14;277425;277447;277487;277529;277572;277612;277634;
15;275723;275744;275785;275826;275869;275909;275931;
16;277996;278018;278059;278102;278146;278187;278210;
17;282401;282426;282469;282517;282565;282609;282633;
18;278558;278588;278638;278695;278753;278805;278833;
19;279167;279205;279267;279340;279413;279480;279514;
20;280158;280205;280282;280375;280467;280551;280597;
21;282335;282390;282486;282598;282710;282814;282868;
22;283324;283390;283499;283631;283761;283881;283945;
23;288798;288874;288997;289143;289288;289422;289492;
24;297719;297800;297934;298090;298248;298388;298463;
25;311243;311325;311470;311633;311796;311945;312022;
26;312226;312312;312460;312625;312792;312946;313027;
27;318933;319017;319173;319335;319501;319655;319741;
28;320712;320792;320947;321106;321271;321424;321507;
29;329059;329139;329289;329445;329606;329755;329836;
30;324186;324261;324406;324559;324712;324856;324934;
31;326795;326868;327006;327153;327301;327439;327512;
32;338529;338599;338730;338870;339011;339144;339211;
